NAME,BRAND,BARCODE,SKU CODE,PRODUCT CODE,HSN CODE,PLU NO,COST PRICE,MRP,SALE PRICE,WHOLESALE PRICE,SPECIAL PRICE,ONLINE PRICE,WEIGHT,QUANTITY,EXPIRED QUANTITY,NEAR EXPIRY QUANTITY,TAX,TYPE,CESS,CESS ON,CESS TYPE,TAX AMOUNT,TAXABLE VALUE,CESS TAX AMOUNT,ADDITIONAL CESS TAX AMOUNT,SUPPLIER,DISCOUNT(₹),DISCOUNT(%),ACTUAL MARGIN (₹),MARGIN ON CP (%),MARGIN ON SP (%),CATEGORY,SUB CATEGORY,INSTOCK VALUE
Malkist Chocolate 23 G,,8996001312452,,,,PLU001,,5,5,5,5,5,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,5,0,100,Miscellaneous,Miscellaneous,0
Atta Bix Chocolate / F 115g,,8996001308189,,,,PLU001,,50,50,50,50,50,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,50,0,100,Miscellaneous,Miscellaneous,0
Atta Bix Chocolate / F 115g,,8996001308189,,,,PLU001,,40,40,40,40,40,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,40,0,100,Miscellaneous,Miscellaneous,0
Mayora Coffeejoy 90g,,8996001301760,,,,PLU001,,50,50,50,50,50,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,50,0,100,Miscellaneous,Miscellaneous,0
Coffee Joy 50 G,,8996001301715,,,,PLU001,,25,25,25,25,25,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,25,0,100,Miscellaneous,Miscellaneous,0
Classic White 85g,,8993286421206,,,,PLU001,,75,75,75,75,75,1 pc,-1,0,0,0,CGST + SGST,0,1,1,0,-75,0,0,,0,0,75,0,100,Miscellaneous,Miscellaneous,0
Nabati Cream Sandwich 49 G,,8993175550154,,,,PLU001,8.5,10,10,10,10,10,1 pc,3,0,0,0,CGST + SGST,0,1,1,0,30,0,0,,0,0,1.5,17.647,15,Miscellaneous,Miscellaneous,25.5
Nabati Nextar 36 G,,8993175549387,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
Nabati Pink Lava 33 G,,8993175549011,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
Nabati Cocolava,,8993175548168,,,,PLU001,8.5,10,10,10,10,10,1 pc,8,0,0,0,CGST + SGST,0,1,1,0,80,0,0,,0,0,1.5,17.647,15,Miscellaneous,Miscellaneous,68
Nabati Time Break 14 G,,8993175547444,,,,PLU001,,5,5,5,5,5,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,5,0,100,Miscellaneous,Miscellaneous,0
Nabati Black 37g,,8993175540902,,,,PLU001,,10,10,10,10,10,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,10,0,100,Miscellaneous,Miscellaneous,0
Gokulam Dates 500g,,8978745245005,,,,PLU001,,120,115,115,115,115,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,4.167,115,0,100,Miscellaneous,Miscellaneous,0
Crown Date Honey Dry Fruits 400g,,8975623157894,,,,PLU001,,190,180,180,180,180,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,10,5.263,180,0,100,Miscellaneous,Miscellaneous,0
Crown Date Honey Dry Fruits 400g,,8975623157894,,,,PLU002,,280,275,270,270,270,1 pc,1,0,0,0,CGST + SGST,0,1,1,0,275,0,0,,5,1.786,275,0,100,Miscellaneous,Miscellaneous,240
Dhanraj Dates 500 G+or - 100 G,,8939998200524,,,,PLU001,,320,155,155,155,155,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,165,51.563,155,0,100,Miscellaneous,Miscellaneous,0
 Sunnundalu ,,8924455640029,,,,PLU001,90,130,120,120,120,120,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,10,7.692,30,33.333,25,Miscellaneous,Miscellaneous,0
Kandebyadalu 1/4 Kg,,8909909890,,,,PLU001,,35,30,28,28,30,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,14.286,30,0,100,Miscellaneous,Miscellaneous,0
White N Fresh Kid  Brush 1 P,,8908802278356,,,,PLU001,,12,12,12,12,12,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,12,0,100,Miscellaneous,Miscellaneous,0
White Fresh Junior T \ B,,8908802277908,,,,PLU001,,25,20,20,20,20,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,20,20,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Coriander 200g,,8908033042030,,,,PLU001,,60,40,40,40,40,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,20,33.333,40,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Coriander 200g,,8908033042030,,,,PLU001,,70,55,46,46,55,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,15,21.429,55,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Turmeric Powder 200g,,8908033042030,,,,PLU001,,60,40,40,40,40,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,20,33.333,40,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Turmeric Powder 200g,,8908033042030,,,,PLU001,,70,40,40,40,40,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,30,42.857,40,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Rer Chilli 200g,,8908033042030,,,,PLU001,,60,45,45,45,45,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,15,25,45,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Rer Chilli 200g,,8908033042030,,,,PLU001,,70,60,55,55,60,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,10,14.286,60,0,100,Miscellaneous,Miscellaneous,0
Sri Surya Pappad 70g,,8908033042030,,,,PLU001,,20,15,15,15,15,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,5,25,15,0,100,Miscellaneous,Miscellaneous,0
Singh Cone Big,,8908018037020,,,,PLU001,6.6,15,15,10,10,10,1 pc,13,0,0,0,CGST + SGST,0,1,1,0,195,0,0,,0,0,8.4,127.273,56,Miscellaneous,Miscellaneous,112.2
Sanipro Xl 16 Pads,,8908015914027,,,,PLU001,,68,68,68,68,68,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,68,0,100,Miscellaneous,Miscellaneous,0
Sanipro Regular Pads,,8908015914010,,,,PLU001,,30,30,30,30,30,1 pc,0,0,0,0,CGST + SGST,0,1,1,0,0,0,0,,0,0,30,0,100,Miscellaneous,Miscellaneous,0
